CLIENTE_ID,CLIENTE,PRODUCTO,PRECIO,CANTIDAD,CIUDAD,VENDEDOR_ID,VENDEDOR,FECHA,ESTADO,VALOR_VENTA,COMISION,CATEGORIA
Cliente_0469,Sofía Martínez,Tablet,1332325.03,1,Bogotá,Vendedor_183,Ana Martínez,2022-08-22T19:40,Cerrado,1332325.03,89317.26,Tecnología
Cliente_4772,Simón Quintero,Concentrado,288469.05,3,Manizales,Vendedor_148,Hugo Guerrero,2022-01-21T16:30,Cerrado,865407.15,69051.12,Mascotas
Cliente_2619,Felipe Castro,Manguera,509338.92,3,Cali,Vendedor_083,Viviana Ramírez,2023-07-09T23:00,Cerrado,1528016.76,48971.2,Jardín
Cliente_4953,Ana Ortega,Zapatos,490402.53,4,Manizales,Vendedor_017,Álvaro Cortés,2024-03-18T01:20,Cancelado,1961610.12,82870.13,Ropa
Cliente_2076,Sebastián Guerrero,Chaqueta,635851.83,3,Cartagena,Vendedor_031,Camila Cortés,2022-04-08T04:42,Cerrado,1907555.49,114237.85,Ropa
Cliente_4166,Álvaro Pérez,Vitaminas,196292.65,1,Cali,Vendedor_049,Yolanda Salazar,2024-09-17T19:28,Cerrado,196292.65,9963.76,Salud
Cliente_1655,Hugo Méndez,Monitor,3644103.7,2,Bucaramanga,Vendedor_082,Noelia Ortega,2024-02-04T12:48,Cerrado,7288207.4,450978.32,Tecnología
Cliente_2220,Daniela Ospina,Abono,544029.67,3,Bogotá,Vendedor_178,Mónica Rojas,2021-10-22T14:42,En Proceso,1632089.01,96815.87,Jardín
Cliente_1735,Fernando Martínez,Leche,54020.42,5,Manizales,Vendedor_024,Alejandro Méndez,2025-07-18T12:43,Cerrado,270102.1,18744.94,Alimentos
Cliente_2738,Mónica Rojas,Tablet,1308547.96,3,Barranquilla,Vendedor_116,Ana Rojas,2021-03-19T12:59,Cerrado,3925643.88,131686.3,Tecnología
Cliente_1117,Daniela Gómez,Crema,491545.12,4,Barranquilla,Vendedor_070,Viviana Moreno,2024-03-01T18:59,Cerrado,1966180.48,102301.95,Belleza
Cliente_2517,Jorge López,Rompecabezas,334682.98,4,Medellín,Vendedor_010,Yolanda Sánchez,2023-02-17T04:34,Cerrado,1338731.92,97731.03,Juguetes
Cliente_4200,Noelia Gómez,Arena,90560.84,2,Barranquilla,Vendedor_124,Camila Pérez,2024-03-01T22:26,Cancelado,181121.68,8718.85,Mascotas
Cliente_0779,Camila Castro,Juguete,299076.69,5,Barranquilla,Vendedor_141,Juan Méndez,2024-09-30T11:23,Abierto,1495383.45,82529.38,Mascotas
Cliente_3965,Ana Ramírez,Arena,90560.84,4,Cali,Vendedor_192,Hugo Arango,2024-04-29T23:17,Cerrado,362243.36,11258.14,Mascotas
Cliente_4273,Óscar Arango,Juguete,299076.69,5,Santa Marta,Vendedor_102,Mónica Castro,2024-02-25T13:53,Cancelado,1495383.45,61622.8,Mascotas
Cliente_0175,Viviana Ibarra,Perfume,101627.68,4,Cali,Vendedor_066,Valeria Henao,2025-01-26T16:27,Cerrado,406510.72,21619.36,Belleza
Cliente_3379,Carolina Vargas,Silla,1782973.01,4,Medellín,Vendedor_171,Valeria Gaviria,2024-05-25T22:14,Cancelado,7131892.04,356226.64,Hogar
